,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,295665,Macbook Pro Laptop,1.0,1700.0,2019-12-30 00:01:00,"136 Church St, New York City, NY 10001",136 Church St, New York City, NY 10001,December,Monday,0
1,295666,LG Washing Machine,1.0,600.0,2019-12-29 07:03:00,"562 2nd St, New York City, NY 10001",562 2nd St, New York City, NY 10001,December,Sunday,7
2,295667,USB-C Charging Cable,1.0,11.95,2019-12-12 18:21:00,"277 Main St, New York City, NY 10001",277 Main St, New York City, NY 10001,December,Thursday,18
3,295668,27in FHD Monitor,1.0,149.99,2019-12-22 15:13:00,"410 6th St, San Francisco, CA 94016",410 6th St, San Francisco, CA 94016,December,Sunday,15
4,295669,USB-C Charging Cable,1.0,11.95,2019-12-18 12:38:00,"43 Hill St, Atlanta, GA 30301",43 Hill St, Atlanta, GA 30301,December,Wednesday,12
5,295670,AA Batteries (4-pack),1.0,3.84,2019-12-31 22:58:00,"200 Jefferson St, New York City, NY 10001",200 Jefferson St, New York City, NY 10001,December,Tuesday,22
6,295671,USB-C Charging Cable,1.0,11.95,2019-12-16 15:10:00,"928 12th St, Portland, OR 97035",928 12th St, Portland, OR 97035,December,Monday,15
7,295672,USB-C Charging Cable,2.0,11.95,2019-12-13 09:29:00,"813 Hickory St, Dallas, TX 75001",813 Hickory St, Dallas, TX 75001,December,Friday,9
8,295673,Bose SoundSport Headphones,1.0,99.99,2019-12-15 23:26:00,"718 Wilson St, Dallas, TX 75001",718 Wilson St, Dallas, TX 75001,December,Sunday,23
9,295674,AAA Batteries (4-pack),4.0,2.99,2019-12-28 11:51:00,"77 7th St, Dallas, TX 75001",77 7th St, Dallas, TX 75001,December,Saturday,11
10,295675,USB-C Charging Cable,2.0,11.95,2019-12-13 13:52:00,"594 1st St, San Francisco, CA 94016",594 1st St, San Francisco, CA 94016,December,Friday,13
11,295676,ThinkPad Laptop,1.0,999.99,2019-12-28 17:19:00,"410 Lincoln St, Los Angeles, CA 90001",410 Lincoln St, Los Angeles, CA 90001,December,Saturday,17
12,295677,AA Batteries (4-pack),2.0,3.84,2019-12-20 19:19:00,"866 Pine St, Boston, MA 02215",866 Pine St, Boston, MA 02215,December,Friday,19
13,295678,AAA Batteries (4-pack),2.0,2.99,2019-12-06 09:38:00,"187 Lincoln St, Dallas, TX 75001",187 Lincoln St, Dallas, TX 75001,December,Friday,9
14,295679,USB-C Charging Cable,1.0,11.95,2019-12-25 09:39:00,"902 2nd St, Dallas, TX 75001",902 2nd St, Dallas, TX 75001,December,Wednesday,9
15,295680,Lightning Charging Cable,1.0,14.95,2019-12-01 14:30:00,"338 Main St, Austin, TX 73301",338 Main St, Austin, TX 73301,December,Sunday,14
