,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,150502,iPhone,1.0,700.0,2019-02-18 01:35:00,"866 Spruce St, Portland, ME 04101",866 Spruce St, Portland, ME 04101,February,Monday,1
1,150503,AA Batteries (4-pack),1.0,3.84,2019-02-13 07:24:00,"18 13th St, San Francisco, CA 94016",18 13th St, San Francisco, CA 94016,February,Wednesday,7
2,150504,27in 4K Gaming Monitor,1.0,389.99,2019-02-18 09:46:00,"52 6th St, New York City, NY 10001",52 6th St, New York City, NY 10001,February,Monday,9
3,150505,Lightning Charging Cable,1.0,14.95,2019-02-02 16:47:00,"129 Cherry St, Atlanta, GA 30301",129 Cherry St, Atlanta, GA 30301,February,Saturday,16
4,150506,AA Batteries (4-pack),2.0,3.84,2019-02-28 20:32:00,"548 Lincoln St, Seattle, WA 98101",548 Lincoln St, Seattle, WA 98101,February,Thursday,20
5,150507,Lightning Charging Cable,1.0,14.95,2019-02-24 18:50:00,"387 12th St, Austin, TX 73301",387 12th St, Austin, TX 73301,February,Sunday,18
6,150508,AA Batteries (4-pack),1.0,3.84,2019-02-21 19:26:00,"622 Center St, San Francisco, CA 94016",622 Center St, San Francisco, CA 94016,February,Thursday,19
7,150509,Apple Airpods Headphones,1.0,150.0,2019-02-26 19:53:00,"921 6th St, Seattle, WA 98101",921 6th St, Seattle, WA 98101,February,Tuesday,19
8,150510,USB-C Charging Cable,1.0,11.95,2019-02-17 21:48:00,"451 2nd St, Los Angeles, CA 90001",451 2nd St, Los Angeles, CA 90001,February,Sunday,21
9,150511,USB-C Charging Cable,1.0,11.95,2019-02-22 07:36:00,"689 River St, San Francisco, CA 94016",689 River St, San Francisco, CA 94016,February,Friday,7
10,150512,Bose SoundSport Headphones,1.0,99.99,2019-02-17 18:29:00,"198 Center St, Los Angeles, CA 90001",198 Center St, Los Angeles, CA 90001,February,Sunday,18
11,150513,Bose SoundSport Headphones,1.0,99.99,2019-02-25 20:49:00,"777 Spruce St, Los Angeles, CA 90001",777 Spruce St, Los Angeles, CA 90001,February,Monday,20
12,150514,27in FHD Monitor,1.0,149.99,2019-02-03 00:21:00,"723 Wilson St, Los Angeles, CA 90001",723 Wilson St, Los Angeles, CA 90001,February,Sunday,0
13,150515,Apple Airpods Headphones,1.0,150.0,2019-02-18 14:53:00,"101 13th St, New York City, NY 10001",101 13th St, New York City, NY 10001,February,Monday,14
