,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,141234,iPhone,1.0,700.0,2019-01-22 21:25:00,"944 Walnut St, Boston, MA 02215",944 Walnut St, Boston, MA 02215,January,Tuesday,21
1,141235,Lightning Charging Cable,1.0,14.95,2019-01-28 14:15:00,"185 Maple St, Portland, OR 97035",185 Maple St, Portland, OR 97035,January,Monday,14
2,141236,Wired Headphones,2.0,11.99,2019-01-17 13:33:00,"538 Adams St, San Francisco, CA 94016",538 Adams St, San Francisco, CA 94016,January,Thursday,13
3,141237,27in FHD Monitor,1.0,149.99,2019-01-05 20:33:00,"738 10th St, Los Angeles, CA 90001",738 10th St, Los Angeles, CA 90001,January,Saturday,20
4,141238,Wired Headphones,1.0,11.99,2019-01-25 11:59:00,"387 10th St, Austin, TX 73301",387 10th St, Austin, TX 73301,January,Friday,11
5,141239,AAA Batteries (4-pack),1.0,2.99,2019-01-29 20:22:00,"775 Willow St, San Francisco, CA 94016",775 Willow St, San Francisco, CA 94016,January,Tuesday,20
6,141240,27in 4K Gaming Monitor,1.0,389.99,2019-01-26 12:16:00,"979 Park St, Los Angeles, CA 90001",979 Park St, Los Angeles, CA 90001,January,Saturday,12
7,141241,USB-C Charging Cable,1.0,11.95,2019-01-05 12:04:00,"181 6th St, San Francisco, CA 94016",181 6th St, San Francisco, CA 94016,January,Saturday,12
8,141242,Bose SoundSport Headphones,1.0,99.99,2019-01-01 10:30:00,"867 Willow St, Los Angeles, CA 90001",867 Willow St, Los Angeles, CA 90001,January,Tuesday,10
9,141243,Apple Airpods Headphones,1.0,150.0,2019-01-22 21:20:00,"657 Johnson St, San Francisco, CA 94016",657 Johnson St, San Francisco, CA 94016,January,Tuesday,21
10,141244,Apple Airpods Headphones,1.0,150.0,2019-01-07 11:29:00,"492 Walnut St, San Francisco, CA 94016",492 Walnut St, San Francisco, CA 94016,January,Monday,11
11,141245,Macbook Pro Laptop,1.0,1700.0,2019-01-31 10:12:00,"322 6th St, San Francisco, CA 94016",322 6th St, San Francisco, CA 94016,January,Thursday,10
12,141246,AAA Batteries (4-pack),3.0,2.99,2019-01-09 18:57:00,"618 7th St, Los Angeles, CA 90001",618 7th St, Los Angeles, CA 90001,January,Wednesday,18
13,141247,27in FHD Monitor,1.0,149.99,2019-01-25 19:19:00,"512 Wilson St, San Francisco, CA 94016",512 Wilson St, San Francisco, CA 94016,January,Friday,19
14,141248,Flatscreen TV,1.0,300.0,2019-01-03 21:54:00,"363 Spruce St, Austin, TX 73301",363 Spruce St, Austin, TX 73301,January,Thursday,21
15,141249,27in FHD Monitor,1.0,149.99,2019-01-05 17:20:00,"440 Cedar St, Portland, OR 97035",440 Cedar St, Portland, OR 97035,January,Saturday,17
16,141250,Vareebadd Phone,1.0,400.0,2019-01-10 11:20:00,"471 Center St, Los Angeles, CA 90001",471 Center St, Los Angeles, CA 90001,January,Thursday,11
17,141251,Apple Airpods Headphones,1.0,150.0,2019-01-24 08:13:00,"414 Walnut St, Boston, MA 02215",414 Walnut St, Boston, MA 02215,January,Thursday,8
18,141252,USB-C Charging Cable,1.0,11.95,2019-01-30 09:28:00,"220 9th St, Los Angeles, CA 90001",220 9th St, Los Angeles, CA 90001,January,Wednesday,9
19,141253,AA Batteries (4-pack),1.0,3.84,2019-01-17 00:09:00,"385 11th St, Atlanta, GA 30301",385 11th St, Atlanta, GA 30301,January,Thursday,0
