,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,222910,Apple Airpods Headphones,1.0,150.0,2019-07-26 16:51:00,"389 South St, Atlanta, GA 30301",389 South St, Atlanta, GA 30301,July,Friday,16
1,222911,Flatscreen TV,1.0,300.0,2019-07-05 08:55:00,"590 4th St, Seattle, WA 98101",590 4th St, Seattle, WA 98101,July,Friday,8
2,222912,AA Batteries (4-pack),1.0,3.84,2019-07-29 12:41:00,"861 Hill St, Atlanta, GA 30301",861 Hill St, Atlanta, GA 30301,July,Monday,12
3,222913,AA Batteries (4-pack),1.0,3.84,2019-07-28 10:15:00,"190 Ridge St, Atlanta, GA 30301",190 Ridge St, Atlanta, GA 30301,July,Sunday,10
4,222914,AAA Batteries (4-pack),5.0,2.99,2019-07-31 02:13:00,"824 Forest St, Seattle, WA 98101",824 Forest St, Seattle, WA 98101,July,Wednesday,2
5,222915,Bose SoundSport Headphones,1.0,99.99,2019-07-03 18:30:00,"899 Elm St, San Francisco, CA 94016",899 Elm St, San Francisco, CA 94016,July,Wednesday,18
6,222916,Google Phone,1.0,600.0,2019-07-21 22:39:00,"745 Chestnut St, New York City, NY 10001",745 Chestnut St, New York City, NY 10001,July,Sunday,22
7,222917,LG Dryer,1.0,600.0,2019-07-17 13:44:00,"490 Adams St, New York City, NY 10001",490 Adams St, New York City, NY 10001,July,Wednesday,13
8,222918,USB-C Charging Cable,1.0,11.95,2019-07-14 21:16:00,"207 1st St, Los Angeles, CA 90001",207 1st St, Los Angeles, CA 90001,July,Sunday,21
9,222919,Lightning Charging Cable,1.0,14.95,2019-07-14 13:24:00,"29 Jefferson St, Dallas, TX 75001",29 Jefferson St, Dallas, TX 75001,July,Sunday,13
10,222920,AA Batteries (4-pack),1.0,3.84,2019-07-30 04:42:00,"590 6th St, San Francisco, CA 94016",590 6th St, San Francisco, CA 94016,July,Tuesday,4
11,222921,Lightning Charging Cable,1.0,14.95,2019-07-02 11:04:00,"960 Willow St, San Francisco, CA 94016",960 Willow St, San Francisco, CA 94016,July,Tuesday,11
12,222922,34in Ultrawide Monitor,1.0,379.99,2019-07-20 21:12:00,"616 Chestnut St, Dallas, TX 75001",616 Chestnut St, Dallas, TX 75001,July,Saturday,21
13,222923,AAA Batteries (4-pack),1.0,2.99,2019-07-05 12:16:00,"105 Johnson St, Los Angeles, CA 90001",105 Johnson St, Los Angeles, CA 90001,July,Friday,12
14,222924,Bose SoundSport Headphones,1.0,99.99,2019-07-13 20:46:00,"444 Spruce St, San Francisco, CA 94016",444 Spruce St, San Francisco, CA 94016,July,Saturday,20
15,222925,Apple Airpods Headphones,1.0,150.0,2019-07-09 02:59:00,"764 Adams St, San Francisco, CA 94016",764 Adams St, San Francisco, CA 94016,July,Tuesday,2
16,222926,Lightning Charging Cable,2.0,14.95,2019-07-15 17:44:00,"577 Lakeview St, Los Angeles, CA 90001",577 Lakeview St, Los Angeles, CA 90001,July,Monday,17
17,222927,Wired Headphones,1.0,11.99,2019-07-31 20:34:00,"244 Washington St, Los Angeles, CA 90001",244 Washington St, Los Angeles, CA 90001,July,Wednesday,20
18,222928,Google Phone,1.0,600.0,2019-07-15 17:18:00,"524 Cherry St, San Francisco, CA 94016",524 Cherry St, San Francisco, CA 94016,July,Monday,17
19,222929,Vareebadd Phone,1.0,400.0,2019-07-04 19:46:00,"882 Hickory St, Boston, MA 02215",882 Hickory St, Boston, MA 02215,July,Thursday,19
20,222930,Lightning Charging Cable,1.0,14.95,2019-07-20 20:57:00,"826 River St, San Francisco, CA 94016",826 River St, San Francisco, CA 94016,July,Saturday,20
21,222931,USB-C Charging Cable,1.0,11.95,2019-07-18 09:21:00,"145 Pine St, Boston, MA 02215",145 Pine St, Boston, MA 02215,July,Thursday,9
22,222932,Wired Headphones,1.0,11.99,2019-07-24 17:32:00,"386 Cedar St, Los Angeles, CA 90001",386 Cedar St, Los Angeles, CA 90001,July,Wednesday,17
23,222933,LG Dryer,1.0,600.0,2019-07-30 13:20:00,"76 2nd St, Los Angeles, CA 90001",76 2nd St, Los Angeles, CA 90001,July,Tuesday,13
24,222934,AA Batteries (4-pack),2.0,3.84,2019-07-03 23:51:00,"437 River St, Seattle, WA 98101",437 River St, Seattle, WA 98101,July,Wednesday,23
25,222935,AAA Batteries (4-pack),1.0,2.99,2019-07-23 12:20:00,"118 9th St, San Francisco, CA 94016",118 9th St, San Francisco, CA 94016,July,Tuesday,12
26,222936,27in FHD Monitor,1.0,149.99,2019-07-04 12:29:00,"483 West St, Boston, MA 02215",483 West St, Boston, MA 02215,July,Thursday,12
27,222937,Lightning Charging Cable,2.0,14.95,2019-07-03 09:01:00,"538 North St, San Francisco, CA 94016",538 North St, San Francisco, CA 94016,July,Wednesday,9
28,222938,Flatscreen TV,1.0,300.0,2019-07-20 17:49:00,"523 Hickory St, Dallas, TX 75001",523 Hickory St, Dallas, TX 75001,July,Saturday,17
29,222939,Apple Airpods Headphones,1.0,150.0,2019-07-17 21:53:00,"597 Madison St, Los Angeles, CA 90001",597 Madison St, Los Angeles, CA 90001,July,Wednesday,21
30,222940,Wired Headphones,2.0,11.99,2019-07-05 15:06:00,"779 Maple St, San Francisco, CA 94016",779 Maple St, San Francisco, CA 94016,July,Friday,15
31,222941,Apple Airpods Headphones,1.0,150.0,2019-07-02 05:48:00,"631 Willow St, San Francisco, CA 94016",631 Willow St, San Francisco, CA 94016,July,Tuesday,5
32,222942,Lightning Charging Cable,1.0,14.95,2019-07-07 10:00:00,"424 Church St, Portland, OR 97035",424 Church St, Portland, OR 97035,July,Sunday,10
33,222943,Lightning Charging Cable,1.0,14.95,2019-07-20 23:39:00,"575 4th St, Seattle, WA 98101",575 4th St, Seattle, WA 98101,July,Saturday,23
34,222944,27in FHD Monitor,1.0,149.99,2019-07-07 22:52:00,"70 Meadow St, San Francisco, CA 94016",70 Meadow St, San Francisco, CA 94016,July,Sunday,22
35,222945,Wired Headphones,1.0,11.99,2019-07-21 21:51:00,"191 Dogwood St, Los Angeles, CA 90001",191 Dogwood St, Los Angeles, CA 90001,July,Sunday,21
36,222946,20in Monitor,1.0,109.99,2019-07-14 22:19:00,"49 Park St, New York City, NY 10001",49 Park St, New York City, NY 10001,July,Sunday,22
37,222947,ThinkPad Laptop,1.0,999.99,2019-07-16 09:15:00,"612 Spruce St, New York City, NY 10001",612 Spruce St, New York City, NY 10001,July,Tuesday,9
38,222948,USB-C Charging Cable,1.0,11.95,2019-07-10 08:18:00,"631 12th St, San Francisco, CA 94016",631 12th St, San Francisco, CA 94016,July,Wednesday,8
39,222949,USB-C Charging Cable,1.0,11.95,2019-07-28 17:24:00,"902 Cedar St, Dallas, TX 75001",902 Cedar St, Dallas, TX 75001,July,Sunday,17
40,222950,Lightning Charging Cable,1.0,14.95,2019-07-17 19:05:00,"358 1st St, Dallas, TX 75001",358 1st St, Dallas, TX 75001,July,Wednesday,19
41,222951,Apple Airpods Headphones,1.0,150.0,2019-07-08 12:34:00,"781 Maple St, San Francisco, CA 94016",781 Maple St, San Francisco, CA 94016,July,Monday,12
42,222952,Lightning Charging Cable,1.0,14.95,2019-07-06 16:01:00,"879 Park St, San Francisco, CA 94016",879 Park St, San Francisco, CA 94016,July,Saturday,16
43,222953,Lightning Charging Cable,1.0,14.95,2019-07-31 02:56:00,"109 Highland St, Los Angeles, CA 90001",109 Highland St, Los Angeles, CA 90001,July,Wednesday,2
44,222954,AA Batteries (4-pack),2.0,3.84,2019-07-14 18:11:00,"980 Chestnut St, Dallas, TX 75001",980 Chestnut St, Dallas, TX 75001,July,Sunday,18
