,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,209921,USB-C Charging Cable,1.0,11.95,2019-06-23 19:34:00,"950 Walnut St, Portland, ME 04101",950 Walnut St, Portland, ME 04101,June,Sunday,19
1,209922,Macbook Pro Laptop,1.0,1700.0,2019-06-30 10:05:00,"80 4th St, San Francisco, CA 94016",80 4th St, San Francisco, CA 94016,June,Sunday,10
2,209923,ThinkPad Laptop,1.0,999.99,2019-06-24 20:18:00,"402 Jackson St, Los Angeles, CA 90001",402 Jackson St, Los Angeles, CA 90001,June,Monday,20
3,209924,27in FHD Monitor,1.0,149.99,2019-06-05 10:21:00,"560 10th St, Seattle, WA 98101",560 10th St, Seattle, WA 98101,June,Wednesday,10
4,209925,Bose SoundSport Headphones,1.0,99.99,2019-06-25 18:58:00,"545 2nd St, San Francisco, CA 94016",545 2nd St, San Francisco, CA 94016,June,Tuesday,18
5,209926,Apple Airpods Headphones,1.0,150.0,2019-06-28 20:04:00,"386 Lake St, Seattle, WA 98101",386 Lake St, Seattle, WA 98101,June,Friday,20
6,209927,Lightning Charging Cable,1.0,14.95,2019-06-28 00:07:00,"29 Lincoln St, Los Angeles, CA 90001",29 Lincoln St, Los Angeles, CA 90001,June,Friday,0
7,209928,Apple Airpods Headphones,1.0,150.0,2019-06-16 21:30:00,"350 9th St, New York City, NY 10001",350 9th St, New York City, NY 10001,June,Sunday,21
8,209929,Wired Headphones,1.0,11.99,2019-06-28 10:56:00,"612 Meadow St, Portland, OR 97035",612 Meadow St, Portland, OR 97035,June,Friday,10
9,209930,27in FHD Monitor,1.0,149.99,2019-06-02 11:22:00,"625 Ridge St, Los Angeles, CA 90001",625 Ridge St, Los Angeles, CA 90001,June,Sunday,11
10,209931,Apple Airpods Headphones,1.0,150.0,2019-06-24 13:55:00,"761 14th St, New York City, NY 10001",761 14th St, New York City, NY 10001,June,Monday,13
11,209932,Flatscreen TV,1.0,300.0,2019-06-12 14:36:00,"858 8th St, Boston, MA 02215",858 8th St, Boston, MA 02215,June,Wednesday,14
12,209933,AA Batteries (4-pack),1.0,3.84,2019-06-07 15:39:00,"932 Lakeview St, San Francisco, CA 94016",932 Lakeview St, San Francisco, CA 94016,June,Friday,15
13,209934,AAA Batteries (4-pack),1.0,2.99,2019-06-13 20:53:00,"387 Dogwood St, Boston, MA 02215",387 Dogwood St, Boston, MA 02215,June,Thursday,20
14,209935,AAA Batteries (4-pack),1.0,2.99,2019-06-09 11:13:00,"530 Cedar St, Boston, MA 02215",530 Cedar St, Boston, MA 02215,June,Sunday,11
15,209936,34in Ultrawide Monitor,1.0,379.99,2019-06-15 12:21:00,"769 Dogwood St, Dallas, TX 75001",769 Dogwood St, Dallas, TX 75001,June,Saturday,12
16,209937,AA Batteries (4-pack),1.0,3.84,2019-06-29 18:01:00,"675 Maple St, Dallas, TX 75001",675 Maple St, Dallas, TX 75001,June,Saturday,18
17,209938,iPhone,1.0,700.0,2019-06-15 12:29:00,"766 Meadow St, Seattle, WA 98101",766 Meadow St, Seattle, WA 98101,June,Saturday,12
18,209938,Wired Headphones,1.0,11.99,2019-06-15 12:29:00,"766 Meadow St, Seattle, WA 98101",766 Meadow St, Seattle, WA 98101,June,Saturday,12
