,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,162009,iPhone,1.0,700.0,2019-03-28 20:59:00,"942 Church St, Austin, TX 73301",942 Church St, Austin, TX 73301,March,Thursday,20
1,162009,Lightning Charging Cable,1.0,14.95,2019-03-28 20:59:00,"942 Church St, Austin, TX 73301",942 Church St, Austin, TX 73301,March,Thursday,20
2,162009,Wired Headphones,2.0,11.99,2019-03-28 20:59:00,"942 Church St, Austin, TX 73301",942 Church St, Austin, TX 73301,March,Thursday,20
3,162010,Bose SoundSport Headphones,1.0,99.99,2019-03-17 05:39:00,"261 10th St, San Francisco, CA 94016",261 10th St, San Francisco, CA 94016,March,Sunday,5
4,162011,34in Ultrawide Monitor,1.0,379.99,2019-03-10 00:01:00,"764 13th St, San Francisco, CA 94016",764 13th St, San Francisco, CA 94016,March,Sunday,0
5,162012,AA Batteries (4-pack),1.0,3.84,2019-03-20 21:33:00,"187 Ridge St, San Francisco, CA 94016",187 Ridge St, San Francisco, CA 94016,March,Wednesday,21
6,162013,34in Ultrawide Monitor,1.0,379.99,2019-03-15 23:05:00,"904 Main St, Austin, TX 73301",904 Main St, Austin, TX 73301,March,Friday,23
7,162014,USB-C Charging Cable,1.0,11.95,2019-03-01 21:33:00,"10 13th St, San Francisco, CA 94016",10 13th St, San Francisco, CA 94016,March,Friday,21
8,162015,AA Batteries (4-pack),1.0,3.84,2019-03-02 08:52:00,"949 Jefferson St, Boston, MA 02215",949 Jefferson St, Boston, MA 02215,March,Saturday,8
9,162016,AAA Batteries (4-pack),5.0,2.99,2019-03-19 21:10:00,"469 Highland St, Atlanta, GA 30301",469 Highland St, Atlanta, GA 30301,March,Tuesday,21
10,162017,Lightning Charging Cable,1.0,14.95,2019-03-02 13:55:00,"449 River St, San Francisco, CA 94016",449 River St, San Francisco, CA 94016,March,Saturday,13
11,162018,USB-C Charging Cable,2.0,11.95,2019-03-18 11:07:00,"925 Maple St, Portland, OR 97035",925 Maple St, Portland, OR 97035,March,Monday,11
12,162019,AAA Batteries (4-pack),1.0,2.99,2019-03-05 12:20:00,"639 4th St, Atlanta, GA 30301",639 4th St, Atlanta, GA 30301,March,Tuesday,12
13,162020,LG Washing Machine,1.0,600.0,2019-03-26 18:17:00,"616 Jackson St, Dallas, TX 75001",616 Jackson St, Dallas, TX 75001,March,Tuesday,18
14,162021,Wired Headphones,1.0,11.99,2019-03-30 12:02:00,"645 Wilson St, Los Angeles, CA 90001",645 Wilson St, Los Angeles, CA 90001,March,Saturday,12
15,162022,AA Batteries (4-pack),1.0,3.84,2019-03-17 22:18:00,"473 Hill St, New York City, NY 10001",473 Hill St, New York City, NY 10001,March,Sunday,22
16,162023,Apple Airpods Headphones,1.0,150.0,2019-03-11 20:00:00,"404 Park St, San Francisco, CA 94016",404 Park St, San Francisco, CA 94016,March,Monday,20
17,162024,27in 4K Gaming Monitor,1.0,389.99,2019-03-17 09:22:00,"952 Willow St, Atlanta, GA 30301",952 Willow St, Atlanta, GA 30301,March,Sunday,9
18,162025,AAA Batteries (4-pack),1.0,2.99,2019-03-07 20:50:00,"110 7th St, Boston, MA 02215",110 7th St, Boston, MA 02215,March,Thursday,20
19,162026,iPhone,1.0,700.0,2019-03-22 22:31:00,"71 Pine St, Austin, TX 73301",71 Pine St, Austin, TX 73301,March,Friday,22
20,162027,AAA Batteries (4-pack),1.0,2.99,2019-03-16 20:52:00,"421 Main St, Los Angeles, CA 90001",421 Main St, Los Angeles, CA 90001,March,Saturday,20
21,162028,AAA Batteries (4-pack),3.0,2.99,2019-03-20 15:23:00,"739 1st St, San Francisco, CA 94016",739 1st St, San Francisco, CA 94016,March,Wednesday,15
22,162029,AAA Batteries (4-pack),1.0,2.99,2019-03-26 12:17:00,"141 North St, Atlanta, GA 30301",141 North St, Atlanta, GA 30301,March,Tuesday,12
23,162030,Google Phone,1.0,600.0,2019-03-09 16:50:00,"463 4th St, San Francisco, CA 94016",463 4th St, San Francisco, CA 94016,March,Saturday,16
24,162031,Lightning Charging Cable,1.0,14.95,2019-03-28 17:03:00,"131 Johnson St, Boston, MA 02215",131 Johnson St, Boston, MA 02215,March,Thursday,17
25,162032,Lightning Charging Cable,1.0,14.95,2019-03-31 10:39:00,"498 4th St, Los Angeles, CA 90001",498 4th St, Los Angeles, CA 90001,March,Sunday,10
26,162033,iPhone,1.0,700.0,2019-03-19 11:06:00,"267 Johnson St, Dallas, TX 75001",267 Johnson St, Dallas, TX 75001,March,Tuesday,11
27,162034,USB-C Charging Cable,1.0,11.95,2019-03-26 20:34:00,"104 Center St, Seattle, WA 98101",104 Center St, Seattle, WA 98101,March,Tuesday,20
28,162035,Macbook Pro Laptop,1.0,1700.0,2019-03-08 13:07:00,"44 4th St, Los Angeles, CA 90001",44 4th St, Los Angeles, CA 90001,March,Friday,13
29,162036,Lightning Charging Cable,1.0,14.95,2019-03-09 19:39:00,"905 Spruce St, San Francisco, CA 94016",905 Spruce St, San Francisco, CA 94016,March,Saturday,19
30,162037,iPhone,1.0,700.0,2019-03-23 02:11:00,"277 Elm St, Los Angeles, CA 90001",277 Elm St, Los Angeles, CA 90001,March,Saturday,2
31,162037,Lightning Charging Cable,1.0,14.95,2019-03-23 02:11:00,"277 Elm St, Los Angeles, CA 90001",277 Elm St, Los Angeles, CA 90001,March,Saturday,2
32,162038,AAA Batteries (4-pack),2.0,2.99,2019-03-18 20:31:00,"53 10th St, Atlanta, GA 30301",53 10th St, Atlanta, GA 30301,March,Monday,20
33,162039,AA Batteries (4-pack),1.0,3.84,2019-03-29 12:01:00,"175 West St, San Francisco, CA 94016",175 West St, San Francisco, CA 94016,March,Friday,12
