,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,194095,Wired Headphones,1.0,11.99,2019-05-16 17:14:00,"669 2nd St, New York City, NY 10001",669 2nd St, New York City, NY 10001,May,Thursday,17
1,194096,AA Batteries (4-pack),1.0,3.84,2019-05-19 14:43:00,"844 Walnut St, Dallas, TX 75001",844 Walnut St, Dallas, TX 75001,May,Sunday,14
2,194097,27in FHD Monitor,1.0,149.99,2019-05-24 11:36:00,"164 Madison St, New York City, NY 10001",164 Madison St, New York City, NY 10001,May,Friday,11
3,194098,Wired Headphones,1.0,11.99,2019-05-02 20:40:00,"622 Meadow St, Dallas, TX 75001",622 Meadow St, Dallas, TX 75001,May,Thursday,20
4,194099,AAA Batteries (4-pack),2.0,2.99,2019-05-11 22:55:00,"17 Church St, Seattle, WA 98101",17 Church St, Seattle, WA 98101,May,Saturday,22
5,194100,iPhone,1.0,700.0,2019-05-10 19:44:00,"81 Jefferson St, San Francisco, CA 94016",81 Jefferson St, San Francisco, CA 94016,May,Friday,19
6,194101,USB-C Charging Cable,1.0,11.95,2019-05-11 22:44:00,"354 Meadow St, Boston, MA 02215",354 Meadow St, Boston, MA 02215,May,Saturday,22
7,194102,Lightning Charging Cable,1.0,14.95,2019-05-07 12:49:00,"166 4th St, Dallas, TX 75001",166 4th St, Dallas, TX 75001,May,Tuesday,12
8,194103,27in FHD Monitor,1.0,149.99,2019-05-24 18:28:00,"759 Pine St, Seattle, WA 98101",759 Pine St, Seattle, WA 98101,May,Friday,18
9,194104,Wired Headphones,1.0,11.99,2019-05-04 18:38:00,"330 1st St, Seattle, WA 98101",330 1st St, Seattle, WA 98101,May,Saturday,18
10,194105,ThinkPad Laptop,1.0,999.99,2019-05-13 09:07:00,"928 Hill St, Atlanta, GA 30301",928 Hill St, Atlanta, GA 30301,May,Monday,9
11,194106,USB-C Charging Cable,1.0,11.95,2019-05-12 10:07:00,"261 Jackson St, San Francisco, CA 94016",261 Jackson St, San Francisco, CA 94016,May,Sunday,10
12,194107,34in Ultrawide Monitor,1.0,379.99,2019-05-19 17:52:00,"451 Walnut St, New York City, NY 10001",451 Walnut St, New York City, NY 10001,May,Sunday,17
13,194108,AA Batteries (4-pack),1.0,3.84,2019-05-22 18:15:00,"832 Lakeview St, Austin, TX 73301",832 Lakeview St, Austin, TX 73301,May,Wednesday,18
14,194109,AAA Batteries (4-pack),1.0,2.99,2019-05-15 14:00:00,"202 11th St, Los Angeles, CA 90001",202 11th St, Los Angeles, CA 90001,May,Wednesday,14
15,194110,Google Phone,1.0,600.0,2019-05-31 18:07:00,"498 14th St, Los Angeles, CA 90001",498 14th St, Los Angeles, CA 90001,May,Friday,18
16,194110,Wired Headphones,1.0,11.99,2019-05-31 18:07:00,"498 14th St, Los Angeles, CA 90001",498 14th St, Los Angeles, CA 90001,May,Friday,18
17,194111,27in FHD Monitor,1.0,149.99,2019-05-04 15:08:00,"99 Dogwood St, Dallas, TX 75001",99 Dogwood St, Dallas, TX 75001,May,Saturday,15
18,194112,Google Phone,1.0,600.0,2019-05-29 21:13:00,"853 West St, Austin, TX 73301",853 West St, Austin, TX 73301,May,Wednesday,21
19,194113,Apple Airpods Headphones,1.0,150.0,2019-05-10 22:33:00,"29 Adams St, Los Angeles, CA 90001",29 Adams St, Los Angeles, CA 90001,May,Friday,22
