,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,278797,Wired Headphones,1.0,11.99,2019-11-21 09:54:00,"46 Park St, New York City, NY 10001",46 Park St, New York City, NY 10001,November,Thursday,9
1,278798,USB-C Charging Cable,2.0,11.95,2019-11-17 10:03:00,"962 Hickory St, Austin, TX 73301",962 Hickory St, Austin, TX 73301,November,Sunday,10
2,278799,Apple Airpods Headphones,1.0,150.0,2019-11-19 14:56:00,"464 Cherry St, Los Angeles, CA 90001",464 Cherry St, Los Angeles, CA 90001,November,Tuesday,14
3,278800,27in FHD Monitor,1.0,149.99,2019-11-25 22:24:00,"649 10th St, Seattle, WA 98101",649 10th St, Seattle, WA 98101,November,Monday,22
4,278801,Bose SoundSport Headphones,1.0,99.99,2019-11-09 13:56:00,"522 Hill St, Boston, MA 02215",522 Hill St, Boston, MA 02215,November,Saturday,13
5,278802,USB-C Charging Cable,1.0,11.95,2019-11-14 20:34:00,"154 2nd St, San Francisco, CA 94016",154 2nd St, San Francisco, CA 94016,November,Thursday,20
6,278803,Lightning Charging Cable,1.0,14.95,2019-11-11 08:05:00,"724 5th St, San Francisco, CA 94016",724 5th St, San Francisco, CA 94016,November,Monday,8
7,278804,Bose SoundSport Headphones,1.0,99.99,2019-11-15 11:48:00,"866 Sunset St, Austin, TX 73301",866 Sunset St, Austin, TX 73301,November,Friday,11
8,278805,Lightning Charging Cable,1.0,14.95,2019-11-27 11:50:00,"670 Elm St, San Francisco, CA 94016",670 Elm St, San Francisco, CA 94016,November,Wednesday,11
9,278806,Bose SoundSport Headphones,1.0,99.99,2019-11-19 19:12:00,"174 2nd St, Boston, MA 02215",174 2nd St, Boston, MA 02215,November,Tuesday,19
10,278806,ThinkPad Laptop,1.0,999.99,2019-11-19 19:12:00,"174 2nd St, Boston, MA 02215",174 2nd St, Boston, MA 02215,November,Tuesday,19
11,278807,ThinkPad Laptop,1.0,999.99,2019-11-25 21:52:00,"240 Elm St, Austin, TX 73301",240 Elm St, Austin, TX 73301,November,Monday,21
12,278808,AAA Batteries (4-pack),1.0,2.99,2019-11-23 13:19:00,"155 Highland St, Boston, MA 02215",155 Highland St, Boston, MA 02215,November,Saturday,13
13,278809,AA Batteries (4-pack),1.0,3.84,2019-11-17 12:38:00,"969 13th St, Dallas, TX 75001",969 13th St, Dallas, TX 75001,November,Sunday,12
14,278810,USB-C Charging Cable,1.0,11.95,2019-11-03 16:55:00,"454 Cherry St, Boston, MA 02215",454 Cherry St, Boston, MA 02215,November,Sunday,16
15,278811,Wired Headphones,1.0,11.99,2019-11-06 16:01:00,"99 Elm St, San Francisco, CA 94016",99 Elm St, San Francisco, CA 94016,November,Wednesday,16
16,278811,Apple Airpods Headphones,1.0,150.0,2019-11-06 16:01:00,"99 Elm St, San Francisco, CA 94016",99 Elm St, San Francisco, CA 94016,November,Wednesday,16
17,278812,Apple Airpods Headphones,1.0,150.0,2019-11-17 20:08:00,"601 Church St, Seattle, WA 98101",601 Church St, Seattle, WA 98101,November,Sunday,20
18,278813,Macbook Pro Laptop,1.0,1700.0,2019-11-09 22:40:00,"131 6th St, Boston, MA 02215",131 6th St, Boston, MA 02215,November,Saturday,22
19,278814,AA Batteries (4-pack),3.0,3.84,2019-11-16 16:45:00,"419 Hill St, Boston, MA 02215",419 Hill St, Boston, MA 02215,November,Saturday,16
20,278815,Lightning Charging Cable,1.0,14.95,2019-11-18 13:06:00,"815 Dogwood St, New York City, NY 10001",815 Dogwood St, New York City, NY 10001,November,Monday,13
21,278816,Lightning Charging Cable,1.0,14.95,2019-11-08 08:58:00,"925 5th St, New York City, NY 10001",925 5th St, New York City, NY 10001,November,Friday,8
22,278817,USB-C Charging Cable,1.0,11.95,2019-11-05 23:25:00,"503 Chestnut St, Boston, MA 02215",503 Chestnut St, Boston, MA 02215,November,Tuesday,23
23,278818,USB-C Charging Cable,1.0,11.95,2019-11-16 22:12:00,"541 Johnson St, New York City, NY 10001",541 Johnson St, New York City, NY 10001,November,Saturday,22
24,278819,iPhone,1.0,700.0,2019-11-04 06:20:00,"880 Maple St, New York City, NY 10001",880 Maple St, New York City, NY 10001,November,Monday,6
25,278819,Apple Airpods Headphones,1.0,150.0,2019-11-04 06:20:00,"880 Maple St, New York City, NY 10001",880 Maple St, New York City, NY 10001,November,Monday,6
26,278820,USB-C Charging Cable,2.0,11.95,2019-11-17 15:11:00,"882 Walnut St, Portland, OR 97035",882 Walnut St, Portland, OR 97035,November,Sunday,15
27,278821,USB-C Charging Cable,1.0,11.95,2019-11-25 16:17:00,"327 13th St, Dallas, TX 75001",327 13th St, Dallas, TX 75001,November,Monday,16
28,278822,Bose SoundSport Headphones,1.0,99.99,2019-11-20 08:17:00,"816 Park St, Atlanta, GA 30301",816 Park St, Atlanta, GA 30301,November,Wednesday,8
29,278823,AA Batteries (4-pack),1.0,3.84,2019-11-29 20:42:00,"234 9th St, Boston, MA 02215",234 9th St, Boston, MA 02215,November,Friday,20
30,278824,27in FHD Monitor,1.0,149.99,2019-11-08 11:05:00,"677 Johnson St, Portland, OR 97035",677 Johnson St, Portland, OR 97035,November,Friday,11
31,278825,Bose SoundSport Headphones,1.0,99.99,2019-11-02 00:35:00,"928 Wilson St, San Francisco, CA 94016",928 Wilson St, San Francisco, CA 94016,November,Saturday,0
32,278826,20in Monitor,1.0,109.99,2019-11-26 15:58:00,"532 Cedar St, Austin, TX 73301",532 Cedar St, Austin, TX 73301,November,Tuesday,15
33,278827,Apple Airpods Headphones,1.0,150.0,2019-11-01 13:06:00,"305 Highland St, San Francisco, CA 94016",305 Highland St, San Francisco, CA 94016,November,Friday,13
34,278828,34in Ultrawide Monitor,1.0,379.99,2019-11-12 20:24:00,"470 13th St, San Francisco, CA 94016",470 13th St, San Francisco, CA 94016,November,Tuesday,20
35,278829,iPhone,1.0,700.0,2019-11-20 22:19:00,"977 Johnson St, Los Angeles, CA 90001",977 Johnson St, Los Angeles, CA 90001,November,Wednesday,22
36,278830,USB-C Charging Cable,1.0,11.95,2019-11-04 13:28:00,"651 Hill St, Boston, MA 02215",651 Hill St, Boston, MA 02215,November,Monday,13
37,278831,Bose SoundSport Headphones,1.0,99.99,2019-11-11 12:37:00,"607 8th St, Los Angeles, CA 90001",607 8th St, Los Angeles, CA 90001,November,Monday,12
38,278832,Vareebadd Phone,1.0,400.0,2019-11-10 16:10:00,"783 12th St, San Francisco, CA 94016",783 12th St, San Francisco, CA 94016,November,Sunday,16
39,278833,iPhone,1.0,700.0,2019-11-04 10:34:00,"700 Pine St, San Francisco, CA 94016",700 Pine St, San Francisco, CA 94016,November,Monday,10
40,278833,Lightning Charging Cable,2.0,14.95,2019-11-04 10:34:00,"700 Pine St, San Francisco, CA 94016",700 Pine St, San Francisco, CA 94016,November,Monday,10
41,278834,Wired Headphones,1.0,11.99,2019-11-07 13:19:00,"792 9th St, Los Angeles, CA 90001",792 9th St, Los Angeles, CA 90001,November,Thursday,13
42,278835,AAA Batteries (4-pack),1.0,2.99,2019-11-13 20:05:00,"302 Highland St, San Francisco, CA 94016",302 Highland St, San Francisco, CA 94016,November,Wednesday,20
43,278836,Wired Headphones,1.0,11.99,2019-11-26 20:48:00,"989 12th St, New York City, NY 10001",989 12th St, New York City, NY 10001,November,Tuesday,20
44,278837,AA Batteries (4-pack),1.0,3.84,2019-11-10 16:05:00,"349 9th St, San Francisco, CA 94016",349 9th St, San Francisco, CA 94016,November,Sunday,16
45,278838,Flatscreen TV,1.0,300.0,2019-11-12 15:37:00,"835 Main St, San Francisco, CA 94016",835 Main St, San Francisco, CA 94016,November,Tuesday,15
46,278839,Lightning Charging Cable,1.0,14.95,2019-11-23 11:16:00,"614 Church St, San Francisco, CA 94016",614 Church St, San Francisco, CA 94016,November,Saturday,11
47,278840,Bose SoundSport Headphones,1.0,99.99,2019-11-23 20:46:00,"490 Walnut St, Los Angeles, CA 90001",490 Walnut St, Los Angeles, CA 90001,November,Saturday,20
48,278840,27in FHD Monitor,1.0,149.99,2019-11-23 20:46:00,"490 Walnut St, Los Angeles, CA 90001",490 Walnut St, Los Angeles, CA 90001,November,Saturday,20
49,278841,USB-C Charging Cable,1.0,11.95,2019-11-28 09:07:00,"847 Dogwood St, San Francisco, CA 94016",847 Dogwood St, San Francisco, CA 94016,November,Thursday,9
50,278842,AA Batteries (4-pack),1.0,3.84,2019-11-06 00:37:00,"487 Lincoln St, New York City, NY 10001",487 Lincoln St, New York City, NY 10001,November,Wednesday,0
51,278843,USB-C Charging Cable,1.0,11.95,2019-11-07 11:59:00,"435 Hill St, Portland, ME 04101",435 Hill St, Portland, ME 04101,November,Thursday,11
52,278844,20in Monitor,1.0,109.99,2019-11-24 12:37:00,"944 Madison St, Los Angeles, CA 90001",944 Madison St, Los Angeles, CA 90001,November,Sunday,12
53,278845,Lightning Charging Cable,1.0,14.95,2019-11-09 11:46:00,"497 6th St, Boston, MA 02215",497 6th St, Boston, MA 02215,November,Saturday,11
54,278846,Lightning Charging Cable,1.0,14.95,2019-11-25 22:05:00,"84 1st St, Los Angeles, CA 90001",84 1st St, Los Angeles, CA 90001,November,Monday,22
55,278847,34in Ultrawide Monitor,1.0,379.99,2019-11-12 13:52:00,"903 Madison St, Boston, MA 02215",903 Madison St, Boston, MA 02215,November,Tuesday,13
56,278848,Flatscreen TV,1.0,300.0,2019-11-23 16:40:00,"140 West St, Austin, TX 73301",140 West St, Austin, TX 73301,November,Saturday,16
57,278849,AAA Batteries (4-pack),1.0,2.99,2019-11-16 11:49:00,"984 Washington St, Seattle, WA 98101",984 Washington St, Seattle, WA 98101,November,Saturday,11
58,278850,USB-C Charging Cable,1.0,11.95,2019-11-21 14:25:00,"555 Cherry St, San Francisco, CA 94016",555 Cherry St, San Francisco, CA 94016,November,Thursday,14
59,278851,Apple Airpods Headphones,1.0,150.0,2019-11-08 19:49:00,"687 Maple St, Los Angeles, CA 90001",687 Maple St, Los Angeles, CA 90001,November,Friday,19
60,278852,AAA Batteries (4-pack),1.0,2.99,2019-11-12 16:53:00,"998 Hill St, Seattle, WA 98101",998 Hill St, Seattle, WA 98101,November,Tuesday,16
61,278853,AAA Batteries (4-pack),1.0,2.99,2019-11-20 19:01:00,"591 Washington St, San Francisco, CA 94016",591 Washington St, San Francisco, CA 94016,November,Wednesday,19
62,278854,27in 4K Gaming Monitor,1.0,389.99,2019-11-04 00:24:00,"952 Dogwood St, Portland, OR 97035",952 Dogwood St, Portland, OR 97035,November,Monday,0
63,278855,AA Batteries (4-pack),1.0,3.84,2019-11-21 21:32:00,"193 Maple St, New York City, NY 10001",193 Maple St, New York City, NY 10001,November,Thursday,21
64,278856,Apple Airpods Headphones,1.0,150.0,2019-11-10 22:27:00,"788 North St, New York City, NY 10001",788 North St, New York City, NY 10001,November,Sunday,22
65,278857,USB-C Charging Cable,1.0,11.95,2019-11-30 15:37:00,"150 Wilson St, Los Angeles, CA 90001",150 Wilson St, Los Angeles, CA 90001,November,Saturday,15
66,278857,AAA Batteries (4-pack),2.0,2.99,2019-11-30 15:37:00,"150 Wilson St, Los Angeles, CA 90001",150 Wilson St, Los Angeles, CA 90001,November,Saturday,15
67,278858,USB-C Charging Cable,1.0,11.95,2019-11-16 13:23:00,"690 Spruce St, San Francisco, CA 94016",690 Spruce St, San Francisco, CA 94016,November,Saturday,13
68,278859,27in FHD Monitor,1.0,149.99,2019-11-21 22:29:00,"30 West St, Dallas, TX 75001",30 West St, Dallas, TX 75001,November,Thursday,22
70,278860,Wired Headphones,2.0,11.99,2019-11-22 21:45:00,"389 Madison St, Boston, MA 02215",485 Jefferson St, New York City, NY 10001,November,Friday,21
71,278861,AA Batteries (4-pack),2.0,3.84,2019-11-24 16:18:00,"485 Jefferson St, New York City, NY 10001",351 Spruce St, Portland, ME 04101,November,Sunday,16
72,278862,Wired Headphones,1.0,11.99,2019-11-04 09:22:00,"351 Spruce St, Portland, ME 04101",511 10th St, Los Angeles, CA 90001,November,Monday,9
73,278863,Wired Headphones,1.0,11.99,2019-11-21 16:29:00,"511 10th St, Los Angeles, CA 90001",67 Meadow St, San Francisco, CA 94016,November,Thursday,16
74,278864,Apple Airpods Headphones,1.0,150.0,2019-11-09 19:29:00,"67 Meadow St, San Francisco, CA 94016",518 Center St, New York City, NY 10001,November,Saturday,19
75,278865,27in 4K Gaming Monitor,1.0,389.99,2019-11-14 17:44:00,"518 Center St, New York City, NY 10001",755 2nd St, San Francisco, CA 94016,November,Thursday,17
76,278866,USB-C Charging Cable,1.0,11.95,2019-11-12 23:44:00,"755 2nd St, San Francisco, CA 94016",249 Madison St, Atlanta, GA 30301,November,Tuesday,23
77,278867,Apple Airpods Headphones,1.0,150.0,2019-11-13 11:55:00,"249 Madison St, Atlanta, GA 30301",614 Maple St, New York City, NY 10001,November,Wednesday,11
78,278868,Wired Headphones,1.0,11.99,2019-11-12 22:27:00,"614 Maple St, New York City, NY 10001",164 North St, Dallas, TX 75001,November,Tuesday,22
79,278869,Lightning Charging Cable,1.0,14.95,2019-11-22 12:18:00,"164 North St, Dallas, TX 75001",921 Meadow St, Seattle, WA 98101,November,Friday,12
80,278870,Bose SoundSport Headphones,1.0,99.99,2019-11-29 19:53:00,"921 Meadow St, Seattle, WA 98101",95 Willow St, Dallas, TX 75001,November,Friday,19
81,278871,34in Ultrawide Monitor,1.0,379.99,2019-11-22 14:01:00,"95 Willow St, Dallas, TX 75001",916 North St, Portland, OR 97035,November,Friday,14
82,278872,iPhone,1.0,700.0,2019-11-02 10:46:00,"916 North St, Portland, OR 97035",206 Willow St, Portland, OR 97035,November,Saturday,10
83,278873,Lightning Charging Cable,1.0,14.95,2019-11-28 22:30:00,"206 Willow St, Portland, OR 97035",828 Spruce St, Austin, TX 73301,November,Thursday,22
84,278874,Lightning Charging Cable,1.0,14.95,2019-11-13 17:58:00,"828 Spruce St, Austin, TX 73301",832 Sunset St, Los Angeles, CA 90001,November,Wednesday,17
85,278875,USB-C Charging Cable,1.0,11.95,2019-11-26 11:09:00,"832 Sunset St, Los Angeles, CA 90001",174 Main St, Portland, OR 97035,November,Tuesday,11
86,278876,Bose SoundSport Headphones,1.0,99.99,2019-11-27 17:31:00,"174 Main St, Portland, OR 97035",684 Madison St, Atlanta, GA 30301,November,Wednesday,17
87,278877,34in Ultrawide Monitor,1.0,379.99,2019-11-24 20:08:00,"684 Madison St, Atlanta, GA 30301",515 1st St, New York City, NY 10001,November,Sunday,20
88,278878,AAA Batteries (4-pack),1.0,2.99,2019-11-07 16:06:00,"515 1st St, New York City, NY 10001",738 6th St, San Francisco, CA 94016,November,Thursday,16
89,278879,27in 4K Gaming Monitor,1.0,389.99,2019-11-21 23:35:00,"738 6th St, San Francisco, CA 94016",531 Ridge St, San Francisco, CA 94016,November,Thursday,23
90,278880,Apple Airpods Headphones,1.0,150.0,2019-11-16 13:07:00,"531 Ridge St, San Francisco, CA 94016",695 Jefferson St, New York City, NY 10001,November,Saturday,13
91,278881,20in Monitor,1.0,109.99,2019-11-22 11:30:00,"695 Jefferson St, New York City, NY 10001",469 8th St, San Francisco, CA 94016,November,Friday,11
92,278882,Bose SoundSport Headphones,1.0,99.99,2019-11-15 20:31:00,"469 8th St, San Francisco, CA 94016",153 Washington St, San Francisco, CA 94016,November,Friday,20
93,278883,Wired Headphones,2.0,11.99,2019-11-28 23:11:00,"153 Washington St, San Francisco, CA 94016",288 Washington St, Portland, OR 97035,November,Thursday,23
94,278884,Flatscreen TV,1.0,300.0,2019-11-09 23:48:00,"288 Washington St, Portland, OR 97035",129 Ridge St, Austin, TX 73301,November,Saturday,23
95,278885,34in Ultrawide Monitor,1.0,379.99,2019-11-12 18:53:00,"129 Ridge St, Austin, TX 73301",315 Elm St, San Francisco, CA 94016,November,Tuesday,18
96,278886,USB-C Charging Cable,1.0,11.95,2019-11-17 13:44:00,"315 Elm St, San Francisco, CA 94016",281 1st St, Atlanta, GA 30301,November,Sunday,13
97,278887,AA Batteries (4-pack),1.0,3.84,2019-11-18 14:55:00,"281 1st St, Atlanta, GA 30301",447 Cherry St, Los Angeles, CA 90001,November,Monday,14
98,278888,AA Batteries (4-pack),1.0,3.84,2019-11-24 15:44:00,"447 Cherry St, Los Angeles, CA 90001",171 13th St, Los Angeles, CA 90001,November,Sunday,15
99,278889,USB-C Charging Cable,1.0,11.95,2019-11-30 08:39:00,"171 13th St, Los Angeles, CA 90001",673 West St, Seattle, WA 98101,November,Saturday,8
100,278890,Apple Airpods Headphones,1.0,150.0,2019-11-26 11:27:00,"673 West St, Seattle, WA 98101",116 5th St, San Francisco, CA 94016,November,Tuesday,11
101,278891,Flatscreen TV,1.0,300.0,2019-11-04 12:19:00,"116 5th St, San Francisco, CA 94016",214 North St, Dallas, TX 75001,November,Monday,12
102,278892,USB-C Charging Cable,1.0,11.95,2019-11-08 12:10:00,"214 North St, Dallas, TX 75001",39 Church St, Los Angeles, CA 90001,November,Friday,12
103,278893,AA Batteries (4-pack),1.0,3.84,2019-11-21 18:39:00,"39 Church St, Los Angeles, CA 90001",334 Pine St, Dallas, TX 75001,November,Thursday,18
104,278894,Bose SoundSport Headphones,1.0,99.99,2019-11-16 10:06:00,"334 Pine St, Dallas, TX 75001",24 West St, Los Angeles, CA 90001,November,Saturday,10
