,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Rue,Etat,Code postal,month name,day,hour
0,259358,34in Ultrawide Monitor,1.0,379.99,2019-10-28 10:56:00,"609 Cherry St, Dallas, TX 75001",609 Cherry St, Dallas, TX 75001,October,Monday,10
1,259359,27in 4K Gaming Monitor,1.0,389.99,2019-10-28 17:26:00,"225 5th St, Los Angeles, CA 90001",225 5th St, Los Angeles, CA 90001,October,Monday,17
2,259360,AAA Batteries (4-pack),2.0,2.99,2019-10-24 17:20:00,"967 12th St, New York City, NY 10001",967 12th St, New York City, NY 10001,October,Thursday,17
3,259361,27in FHD Monitor,1.0,149.99,2019-10-14 22:26:00,"628 Jefferson St, New York City, NY 10001",628 Jefferson St, New York City, NY 10001,October,Monday,22
4,259362,Wired Headphones,1.0,11.99,2019-10-07 16:10:00,"534 14th St, Los Angeles, CA 90001",534 14th St, Los Angeles, CA 90001,October,Monday,16
5,259363,AAA Batteries (4-pack),1.0,2.99,2019-10-01 18:55:00,"976 Lake St, New York City, NY 10001",976 Lake St, New York City, NY 10001,October,Tuesday,18
6,259364,Wired Headphones,1.0,11.99,2019-10-29 11:02:00,"874 North St, Los Angeles, CA 90001",874 North St, Los Angeles, CA 90001,October,Tuesday,11
7,259365,Lightning Charging Cable,1.0,14.95,2019-10-29 11:19:00,"127 12th St, Los Angeles, CA 90001",127 12th St, Los Angeles, CA 90001,October,Tuesday,11
8,259366,Apple Airpods Headphones,1.0,150.0,2019-10-20 11:52:00,"955 9th St, Los Angeles, CA 90001",955 9th St, Los Angeles, CA 90001,October,Sunday,11
9,259367,Apple Airpods Headphones,1.0,150.0,2019-10-16 16:19:00,"742 14th St, San Francisco, CA 94016",742 14th St, San Francisco, CA 94016,October,Wednesday,16
10,259368,27in FHD Monitor,1.0,149.99,2019-10-13 13:47:00,"960 Ridge St, Boston, MA 02215",960 Ridge St, Boston, MA 02215,October,Sunday,13
11,259369,USB-C Charging Cable,1.0,11.95,2019-10-26 10:54:00,"538 Johnson St, Portland, OR 97035",538 Johnson St, Portland, OR 97035,October,Saturday,10
12,259370,20in Monitor,1.0,109.99,2019-10-28 23:56:00,"528 Forest St, San Francisco, CA 94016",528 Forest St, San Francisco, CA 94016,October,Monday,23
13,259371,iPhone,1.0,700.0,2019-10-26 12:12:00,"306 Main St, Los Angeles, CA 90001",306 Main St, Los Angeles, CA 90001,October,Saturday,12
14,259372,Wired Headphones,1.0,11.99,2019-10-17 11:07:00,"434 Madison St, San Francisco, CA 94016",434 Madison St, San Francisco, CA 94016,October,Thursday,11
15,259373,27in FHD Monitor,1.0,149.99,2019-10-31 20:15:00,"924 Church St, San Francisco, CA 94016",924 Church St, San Francisco, CA 94016,October,Thursday,20
16,259374,Apple Airpods Headphones,1.0,150.0,2019-10-17 22:14:00,"784 6th St, Los Angeles, CA 90001",784 6th St, Los Angeles, CA 90001,October,Thursday,22
17,259375,USB-C Charging Cable,1.0,11.95,2019-10-10 08:53:00,"557 Forest St, San Francisco, CA 94016",557 Forest St, San Francisco, CA 94016,October,Thursday,8
18,259376,27in FHD Monitor,1.0,149.99,2019-10-12 00:03:00,"218 14th St, San Francisco, CA 94016",218 14th St, San Francisco, CA 94016,October,Saturday,0
19,259377,Bose SoundSport Headphones,1.0,99.99,2019-10-23 16:49:00,"88 Main St, Boston, MA 02215",88 Main St, Boston, MA 02215,October,Wednesday,16
20,259378,Lightning Charging Cable,1.0,14.95,2019-10-18 16:45:00,"997 1st St, Boston, MA 02215",997 1st St, Boston, MA 02215,October,Friday,16
21,259379,27in 4K Gaming Monitor,1.0,389.99,2019-10-09 13:15:00,"148 Lincoln St, San Francisco, CA 94016",148 Lincoln St, San Francisco, CA 94016,October,Wednesday,13
22,259380,Apple Airpods Headphones,1.0,150.0,2019-10-19 12:21:00,"424 North St, San Francisco, CA 94016",424 North St, San Francisco, CA 94016,October,Saturday,12
23,259381,ThinkPad Laptop,1.0,999.99,2019-10-25 08:44:00,"887 12th St, New York City, NY 10001",887 12th St, New York City, NY 10001,October,Friday,8
24,259382,Wired Headphones,1.0,11.99,2019-10-18 14:16:00,"605 Ridge St, New York City, NY 10001",605 Ridge St, New York City, NY 10001,October,Friday,14
25,259383,Apple Airpods Headphones,1.0,150.0,2019-10-13 12:32:00,"597 6th St, Los Angeles, CA 90001",597 6th St, Los Angeles, CA 90001,October,Sunday,12
26,259384,ThinkPad Laptop,1.0,999.99,2019-10-29 23:22:00,"383 Cedar St, Dallas, TX 75001",383 Cedar St, Dallas, TX 75001,October,Tuesday,23
27,259385,Lightning Charging Cable,1.0,14.95,2019-10-28 15:28:00,"892 1st St, Los Angeles, CA 90001",892 1st St, Los Angeles, CA 90001,October,Monday,15
28,259386,Lightning Charging Cable,1.0,14.95,2019-10-16 21:39:00,"966 Hickory St, Los Angeles, CA 90001",966 Hickory St, Los Angeles, CA 90001,October,Wednesday,21
29,259387,Bose SoundSport Headphones,1.0,99.99,2019-10-01 13:58:00,"695 6th St, New York City, NY 10001",695 6th St, New York City, NY 10001,October,Tuesday,13
30,259388,AA Batteries (4-pack),1.0,3.84,2019-10-12 13:15:00,"948 Forest St, San Francisco, CA 94016",948 Forest St, San Francisco, CA 94016,October,Saturday,13
31,259389,AAA Batteries (4-pack),1.0,2.99,2019-10-17 14:14:00,"661 Maple St, Dallas, TX 75001",661 Maple St, Dallas, TX 75001,October,Thursday,14
32,259390,Lightning Charging Cable,1.0,14.95,2019-10-08 12:35:00,"134 Cherry St, Atlanta, GA 30301",134 Cherry St, Atlanta, GA 30301,October,Tuesday,12
33,259391,Google Phone,1.0,600.0,2019-10-24 12:51:00,"374 Hill St, Dallas, TX 75001",374 Hill St, Dallas, TX 75001,October,Thursday,12
34,259392,Wired Headphones,1.0,11.99,2019-10-19 15:26:00,"374 Forest St, Los Angeles, CA 90001",374 Forest St, Los Angeles, CA 90001,October,Saturday,15
35,259393,AA Batteries (4-pack),1.0,3.84,2019-10-22 20:35:00,"2 13th St, New York City, NY 10001",2 13th St, New York City, NY 10001,October,Tuesday,20
36,259394,AA Batteries (4-pack),1.0,3.84,2019-10-24 18:58:00,"909 Lake St, Atlanta, GA 30301",909 Lake St, Atlanta, GA 30301,October,Thursday,18
37,259395,Bose SoundSport Headphones,1.0,99.99,2019-10-13 13:55:00,"235 Adams St, Atlanta, GA 30301",235 Adams St, Atlanta, GA 30301,October,Sunday,13
38,259396,AAA Batteries (4-pack),1.0,2.99,2019-10-23 22:40:00,"218 Spruce St, Austin, TX 73301",218 Spruce St, Austin, TX 73301,October,Wednesday,22
39,259397,Wired Headphones,1.0,11.99,2019-10-01 14:39:00,"901 Walnut St, Atlanta, GA 30301",901 Walnut St, Atlanta, GA 30301,October,Tuesday,14
40,259398,Bose SoundSport Headphones,1.0,99.99,2019-10-22 10:20:00,"367 Pine St, Seattle, WA 98101",367 Pine St, Seattle, WA 98101,October,Tuesday,10
